job_id,job_title,salary_usd,company_location,is_remote,employee_location,job_skills,no_degree_mention,posting_date,company_name,has_python,has_sql,has_tableau,degree_flag,salary_tier,employment_type
7014,Data Analyst,,Spain,False,Spain,"['sql', 'nosql', 'azure', 'spark']",True,2023-12-06,amaris,False,True,False,0,,FT
7016,Data Analyst,,United States,False,"Florida, United States",[],True,2023-07-25,Wokker,False,False,False,0,,PT
7018,Data Analyst,,United Kingdom,False,United Kingdom,"['azure', 'sharepoint', 'visio', 'atlassian', 'confluence', 'jira']",True,2023-01-19,Michael Page Technology,False,False,False,0,,FT
7021,Data Analyst,,United States,False,"New York, United States","['sql', 'power bi', 'dax']",True,2023-08-12,Fuchs Lubricants,False,True,False,0,,FT
7022,Data Analyst,,Switzerland,False,Switzerland,[],True,2023-04-24,Nexus,False,False,False,0,,FT
7023,Data Analyst,,Sweden,False,Sweden,"['sql', 'python', 'r', 'sheets', 'tableau']",True,2023-08-08,Signific,True,True,True,0,,FT
7025,Data Analyst,,Portugal,False,Portugal,[],True,2023-09-02,Near Sea Technologies,False,False,False,0,,FT
7026,Data Analyst,,Germany,False,Germany,[],True,2023-12-03,Peroptyx,False,False,False,0,,PT
7027,Data Analyst,,United States,False,"New York, United States",['excel'],True,2023-08-12,Robert Half,False,False,False,0,,FT
7028,Data Analyst,,Vietnam,False,Vietnam,"['r', 'python', 'java', 'sql', 'oracle', 'azure', 'gcp', 'aws', 'snowflake']",True,2023-03-03,Công Ty Cổ Phần Chứng Khoán SSI,True,True,False,0,,FT
7030,Data Analyst,,Australia,False,Australia,['tableau'],True,2023-06-05,Catholic Education Diocese of Parramatta,False,False,True,0,,FT
7032,Data Analyst,,Mexico,False,Mexico,"['go', 'sql', 'mongodb', 'mongodb', 'python', 'postgresql', 'mysql', 'firebase', 'firebase', 'dynamodb', 'hadoop', 'spark', 'tableau', 'excel', 'slack']",True,2023-08-25,THE ROCKET CODE,True,True,True,0,,FT
7037,Data Analyst,,United States,False,"California, United States","['sql', 'excel', 'tableau']",True,2023-03-12,Crescent Solutions,False,True,True,0,,FT
7040,Data Analyst,,Estonia,False,Estonia,[],True,2023-08-18,Jobbatical,False,False,False,0,,FT
7041,Data Analyst,,United States,False,"New York, United States","['sql', 'jira']",True,2023-11-07,The Rank Group,False,True,False,0,,FT
7042,Data Analyst,,Australia,False,Australia,"['sql', 'python', 'power bi', 'tableau', 'qlik', 'excel']",True,2023-10-28,HAYS,True,True,True,0,,FT
7044,Data Analyst,,Switzerland,False,Switzerland,"['power bi', 'tableau']",True,2023-05-05,Kuehne+Nagel,False,False,True,0,,FT
7047,Data Analyst,,United States,False,"California, United States","['python', 'r', 'sql', 'excel', 'tableau']",True,2023-06-10,Mindlance,True,True,True,0,,FT
7048,Data Analyst,,Canada,False,Canada,"['sql', 'python', 'r', 'looker', 'tableau']",True,2023-01-15,Digital Illusions Creative Entertainment,True,True,True,0,,FT
7049,Data Analyst,,Japan,False,Japan,"['vba', 'spreadsheet', 'excel', 'power bi', 'outlook']",True,2023-05-14,Morgan McKinley,False,False,False,0,,CT
7050,Data Analyst,,Germany,False,Germany,"['r', 'python', 'sql']",True,2023-12-01,Sipgate Gmbh,True,True,False,0,,FT
7051,Data Analyst,,United States,False,"Texas, United States",[],True,2023-05-14,Trinity Industries,False,False,False,0,,FT
7053,Data Analyst,,United Kingdom,False,United Kingdom,['sap'],True,2023-06-12,Venn Group,False,False,False,0,,FT
7055,Data Analyst,,Malaysia,False,Malaysia,"['sql', 'python', 'r', 'aws', 'azure', 'excel', 'tableau', 'looker']",True,2023-06-22,Eco World Development Group Berhad,True,True,True,0,,
7056,Data Analyst,,United States,False,"California, United States","['python', 'sql']",True,2023-08-23,Motion Recruitment,True,True,False,0,,FT
7058,Data Analyst,,Australia,False,Australia,[],True,2023-09-28,Troocoo,False,False,False,0,,CT
7060,Data Analyst,,Spain,False,Spain,[],True,2023-12-22,Peroptyx,False,False,False,0,,PT
7061,Data Analyst,,Japan,False,Japan,"['sql', 'python', 'power bi']",True,2023-06-22,Thermo Fisher Scientific,True,True,False,0,,FT
7064,Data Analyst,,United Kingdom,False,United Kingdom,"['sql', 'snowflake', 'aws']",True,2023-08-30,Harnham,False,True,False,0,,FT
7065,Data Analyst,,United States,False,"California, United States","['oracle', 'snowflake', 'tableau', 'sap', 'power bi']",True,2023-06-29,FinTech LLC,False,False,True,0,,FT
7066,Data Analyst,,Spain,False,Spain,['power bi'],True,2023-12-06,Würth Elektronik,False,False,False,0,,FT
7068,Data Analyst,,Malaysia,False,Malaysia,['excel'],True,2023-12-05,Upscale Sdn Bhd,False,False,False,0,,FT
7072,Data Analyst,,India,False,India,['power bi'],True,2023-12-07,M&G plc,False,False,False,0,,FT
7073,Data Analyst,,United Kingdom,False,United Kingdom,"['sql', 'dart', 'snowflake', 'excel', 'power bi']",True,2023-09-12,Castore,False,True,False,0,,FT
7075,Data Analyst,,China,False,China,['sql'],True,2023-07-10,Byte Dance,False,True,False,0,,FT
7079,Data Analyst,,Germany,False,Germany,"['sql', 'python', 'azure', 'power bi', 'qlik']",True,2023-06-09,FINMAS GmbH,True,True,False,0,,FT
7080,Data Analyst,,Czechia,False,Czechia,"['sql', 'bigquery', 'looker', 'tableau']",True,2023-10-27,PILULKA LÉKÁRNY A.S.,False,True,True,0,,FT
7081,Data Analyst,,Argentina,False,Argentina,"['sql', 'python', 'r']",True,2023-11-21,Emprego,True,True,False,0,,FT
7084,Data Analyst,,Singapore,False,Singapore,['excel'],True,2023-08-24,MORGAN MCKINLEY PTE. LTD.,False,False,False,0,,CT
7085,Data Analyst,,Spain,False,Spain,"['python', 'c#', 'vb.net', 'sql', 'ruby', 'ruby', 'typescript', 'postgresql', 'azure', 'react', 'jupyter', 'ruby on rails', 'power bi', 'tableau']",True,2023-08-20,Mott MacDonald,True,True,True,0,,FT
7089,Data Analyst,,United Kingdom,False,United Kingdom,"['sql', 'r', 'python']",True,2023-01-13,Oscar Associates Limited,True,True,False,0,,FT
7090,Data Analyst,,United Arab Emirates,False,United Arab Emirates,[],True,2023-11-25,qassimi group of companies,False,False,False,0,,FT
7094,Data Analyst,,United Kingdom,False,United Kingdom,"['sql', 'sql server', 'power bi', 'ssrs']",True,2023-11-24,Areti Group,False,True,False,0,,FT
7096,Data Analyst,,United Arab Emirates,False,United Arab Emirates,"['sql', 'r', 'python', 'tableau', 'excel', 'spss']",True,2023-06-09,SHEIN,True,True,True,0,,FT
7101,Data Analyst,,United States,False,"New York, United States","['sql', 'azure', 'power bi', 'dax']",True,2023-02-26,Tata Consultancy Services,False,True,False,0,,FT
7104,Data Analyst,,Singapore,False,Singapore,"['sql', 'python', 'aws', 'hadoop', 'pyspark']",True,2023-07-01,ADECCO PERSONNEL PTE LTD,True,True,False,0,,FT
7108,Data Analyst,,Netherlands,False,Netherlands,"['excel', 'word']",True,2023-06-10,GXO,False,False,False,0,,FT
7109,Data Analyst,,Poland,False,Poland,[],True,2023-01-15,AXA,False,False,False,0,,FT
7112,Data Analyst,,United States,False,"Texas, United States",[],True,2023-11-26,Celestica International Inc.,False,False,False,0,,FT
7113,Data Analyst,,United States,False,"New York, United States",['excel'],True,2023-02-26,CODAMETRIX,False,False,False,0,,FT
7114,Data Analyst,,United Kingdom,False,United Kingdom,['power bi'],True,2023-11-10,FACE-ED- EAST MIDLANDS ACADEMY TRUST,False,False,False,0,,PT
7118,Data Analyst,,Portugal,False,Portugal,[],True,2023-09-10,"Central Lobão, S. A.",False,False,False,0,,FT
7119,Data Analyst,,Romania,False,Romania,"['excel', 'power bi']",True,2023-04-07,Allyis,False,False,False,0,,FT
7120,Data Analyst,,Spain,False,Spain,"['sql', 'r', 'matlab', 'python', 'javascript', 'sas', 'sas', 'oracle', 'hadoop', 'spark', 'excel', 'spss', 'tableau', 'qlik']",True,2023-08-02,SHA WELLNESS CLINIC,True,True,True,0,,FT
7121,Data Analyst,,Austria,False,Austria,[],True,2023-12-15,Commonwealth Bank,False,False,False,0,,FT
7125,Data Analyst,,Israel,False,Israel,"['python', 'r']",True,2023-04-30,G-STAT,True,False,False,0,,FT
7129,Data Analyst,,Ireland,False,Ireland,"['python', 'sql']",True,2023-05-10,Recruitment by The Aphex Group,True,True,False,0,,CT
7130,Data Analyst,,Spain,False,Spain,[],True,2023-09-01,GroupM,False,False,False,0,,FT
7132,Data Analyst,,United States,False,"California, United States","['aws', 'excel']",True,2023-06-15,Innova Solutions,False,False,False,0,,FT
7133,Data Analyst,,Spain,False,Spain,"['sql', 'go', 'aws', 'oracle', 'snowflake']",True,2023-12-05,Ambit Building Solutions Together S.A.,False,True,False,0,,FT
7134,Data Analyst,,United Kingdom,False,United Kingdom,['excel'],True,2023-02-07,Consult Energy UK,False,False,False,0,,FT
7135,Data Analyst,,United Kingdom,False,United Kingdom,['excel'],True,2023-08-28,Local jobs,False,False,False,0,,CT
7136,Data Analyst,,Spain,False,Spain,"['bigquery', 'gcp']",True,2023-11-03,arelance,False,False,False,0,,FT
7141,Data Analyst,,Poland,False,Poland,"['sql', 'python', 'r', 'power bi', 'excel', 'tableau', 'powerpoint']",True,2023-07-14,3Shape,True,True,True,0,,FT
7144,Data Analyst,,South Africa,False,South Africa,"['sql', 'crystal', 'oracle', 'excel', 'sheets']",True,2023-08-26,Kubapay,False,True,False,0,,FT
7147,Data Analyst,,United Kingdom,False,United Kingdom,"['t-sql', 'python', 'databricks', 'azure', 'aws', 'word']",True,2023-11-18,HM Land Registry,True,False,False,0,,FT
7149,Data Analyst,,United States,False,"New York, United States","['dax', 'qlik']",True,2023-11-20,Solomon Page,False,False,False,0,,FT
7152,Data Analyst,,Saudi Arabia,False,Saudi Arabia,[],True,2023-12-29,The Professionals,False,False,False,0,,FT
7154,Data Analyst,,Portugal,False,Portugal,[],True,2023-08-29,Tamannaco Fzco,False,False,False,0,,FT
