job_id,job_title,salary_usd,employment_type,company_location,is_remote,employee_location,job_skills,degree_required,posting_date,company_name,salary_tier,has_target,degree_flag
1999,Data Analyst,100000,Full-time,United States,False,"California, United States","['sql', 'excel', 'tableau']",True,2023-12-19,AssistRx,Mid,True,no degree required
2083,Data Analyst,175000,Full-time,United States,False,Georgia,['flow'],False,2023-06-02,Centauri,High,False,no degree required
2159,Data Analyst,98500,Full-time,United States,False,"Florida, United States","['sql', 'python', 'looker']",False,2023-01-23,AACSB International,Mid,True,no degree required
2183,Data Analyst,100000,Full-time,United States,False,"New York, United States","['sql', 'python', 'r', 'aws', 'tidyverse', 'git']",False,2023-11-27,BAE Systems,Mid,True,no degree required
2281,Data Analyst,75000,Full-time,United States,False,"Illinois, United States","['spss', 'tableau', 'powerpoint', 'excel', 'word']",False,2023-12-26,College of American Pathologists,Mid,True,no degree required
2405,Data Analyst,77500,Full-time,United States,True,"New York, United States",['excel'],False,2023-12-15,JDC,Mid,False,no degree required
2496,Data Analyst,71750,Full-time,United States,False,"New York, United States","['go', 'r', 'sql']",False,2023-06-16,NYU Langone,Mid,True,no degree required
2722,Data Analyst,75000,Full-time,United States,False,"Texas, United States","['go', 'word', 'spreadsheet']",True,2023-11-24,Kelly,Mid,False,no degree required
2849,Data Analyst,85000,Full-time,United States,False,"California, United States","['sql', 'sql server', 'aws', 'azure', 'snowflake', 'power bi', 'dax', 'ssis', 'ssrs']",False,2023-12-23,"Ardmore Home Design, Inc.",Mid,True,no degree required
2953,Data Analyst,57500,Full-time,India,False,India,"['tableau', 'power bi']",False,2023-05-27,Freshworks,Mid,True,no degree required
3201,Data Analyst,105000,Full-time,India,False,India,"['r', 'python', 'spss']",False,2023-07-15,NielsenIQ,High,True,no degree required
3282,Data Analyst,111202,Full-time,Hungary,False,Hungary,"['sql', 'python', 'redshift']",False,2023-01-06,Prezi,High,True,no degree required
3338,Data Analyst,125000,Full-time,United States,False,Georgia,"['sql', 'aws', 'power bi']",True,2023-03-29,Insight Global,High,True,no degree required
